Tissue	Cell type	Marker genes
Reproductive	Fetal germ cell	"ABCA5,ABCC1,ABCC9,ABHD12B,ABHD14B,ABLIM1,ABRACL,ACADS,ACE,ACOT4,ACP5,ACSS2,ACTG2,ACTL8,ACTR1A,ACVR2A,ADA,ADAD1,ADAD2,ADD2,ADGRG6,ADSS,AEN,AFF3,AGBL5,AGGF1,AK1,AK9,AKAP1,AKT3,ALDH1A2,ALDH4A1,ALDOC,ALPL,ANKRD31,ANKRD42,ANKRD50,ANO10,ANXA11,ANXA3,ANXA6,APOC1,APOE,APRT,AQP3,ARHGAP1,ARHGAP20,ARHGAP21,ARHGEF33,ARL4A,ARL6IP4,ARMC8,ARPC1B,ARRB1,ART3,ASAP1,ASPH,ASZ1,ATG2A,ATP2A3,ATP6V1B1,ATP6V1C1,ATP9A,AURKC,B2M,B3GALNT1,B4GALT6,BAIAP2,BAIAP2L1,BAX,BAZ1A,BFAR,BID,BLVRA,BMP2K,BOK,BOLA3,BPHL,BRD1,BRD2,C11orf65,C12orf10,C14orf39,C15orf48,C19orf38,C1orf146,C20orf96,C4orf48,C5,C5orf47,C5orf58,C9orf43,CA2,CABLES1,CABYR,CADM1,CAMSAP1,CAND2,CAPRIN2,CARHSP1,CASP7,CAST,CBR1,CCDC112,CCDC122,CCDC152,CCDC172,CCDC186,CCDC42,CCDC73,CCDC82,CCDC88A,CCDC88C,CCNI,CCNO,CCPG1,CD55,CD63,CD81,CD82,CD9,CDC42EP4,CDCA7,CDIP1,CDKL3,CENPA,CFAP221,CFAP97,CFL2,CFLAR,CHIC2,CHMP2B,CHMP4A,CHORDC1,CHP1,CHST2,CLDN6,CLEC4C,CLEC4D,CLGN,CLIP4,CLOCK,CMTM7,CNN2,CNTNAP2,CNTRL,COG6,COL1A2,COL4A1,COL4A2,COLEC11,COTL1,COX8A,COX8C,CREBRF,CRIP1,CRYBG3,CSMD3,CSRP2,CTCFL,CTSA,CTSC,CTSF,CTSH,CUL4B,CYP11A1,CYP2S1,CYSTM1,DAZL,DCAF4,DCAF4L1,DCTN4,DDHD2,DDIT4,DDX4,DECR1,DEDD,DENND1B,DENND5B,DGAT2,DGUOK,DHTKD1,DHX33,DLG3,DLK1,DLX5,DLX6,DMD,DMRTB1,DMRTC2,DNAH12,DNAH3,DNAH7,DNAJA4,DNAJC10,DNALI1,DOCK8,DPEP3,DPPA3,DPPA4,DPPA5,DTD1,DUSP22,ECHDC1,EEF1A1,EFEMP1,EID3,EIF1B,EIF3I,EIF3K,ELAVL2,ELOVL4,ELOVL6,EMB,ENC1,EPB41L3,EPB41L5,EPS8,ERBB3,ERICH5,ESAM,ESRP1,ESX1,ETFA,ETFB,ETV4,EVI5,EXOSC5,EYA2,F2R,FABP3,FAM117A,FAM122C,FAM124B,FAM133A,FAM162B,FAM178B,FAM228A,FAM228B,FAM50B,FAM53B,FAM9B,FARP1,FBLIM1,FBLN1,FBLN5,FBRS,FBXO11,FBXO15,FBXO25,FBXO4,FBXO47,FBXW7,FDXR,FGF9,FGFR1OP2,FHL2,FKBP11,FKBP2,FKBP6,FLNA,FMN1,FMR1,FN1,FNDC5,FOXR1,FRA10AC1,FRAT2,FSD1L,FST,FTCD,FUCA2,FXYD6,GABARAPL1,GABARAPL2,GALNS,GDPD2,GIP,GLCCI1,GLDC,GLIPR1L2,GLIPR2,GLO1,GLUL,GMPPB,GNAS,GNG12,GNG4,GNPDA2,GOLGA1,GOLIM4,GPBP1,GPHA2,GPRC5C,GPX2,GSAP,GSTP1,GYG1,HAGH,HDDC3,HERC1,HERC2,HEY2,HIGD1A,HILPDA,HNRNPA1,HOOK1,HOXB7,HOXC9,HOXD1,HOXD8,HSF2,HSF2BP,HSPA2,HSPA4L,HSPB11,HYDIN,HYLS1,ID2,IDH3A,IFITM1,IFITM3,IFT57,IFT88,IL12B,IL13RA1,ILKAP,IMPACT,IMPDH1,INCA1,IQCB1,IQUB,IRF4,ITM2C,ITPRID2,JMJD1C,JUP,KDM1B,KDM2A,KHDC3L,KIFAP3,KIT,KLC1,KLF10,KLF5,KLHL35,KLRG2,KMT2E,KRBOX1,KRCC1,L3MBTL3,LACC1,LDHA,LDHC,LEF1,LGALS1,LHX8,LIN28A,LIN7B,LMO7,LOXL2,LPGAT1,LRRC27,LRRC34,LRRC40,LRRFIP2,LTBP3,LY6E,LY6G5C,LZIC,MAD1L1,MAEL,MAL2,MAP3K11,MAP7,MAP7D3,MAT2B,MAVS,MB21D2,MBIP,MBOAT2,MBP,MCL1,MCRS1,ME2,MED13L,MEIKIN,MEIOB,MEIS1,MFN1,MGAT4A,MGST3,MIER1,MKNK2,MKRN1,MLEC,MLF1,MLLT3,MMP2,MOK,MORC1,MORC2,MORN2,MPP1,MPP2,MPP7,MRPL15,MRPL34,MRS2,MSL3,MTDH,MTHFD1,MTUS1,MTX2,MVP,MXD4,MXI1,MYBL2,MYCBP2,MYCN,MYL6,MYL9,MYO1C,NAALAD2,NAGA,NANOG,NANOS3,NBPF10,NBPF8,NCK2,NDRG4,NDUFAB1,NDUFS5,NEDD4L,NEU1,NFATC1,NFE2L3,NFKBIA,NGLY1,NKIRAS1,NLRP9,NMU,NOL12,NOP10,NPC2,NR2F1,NR3C1,NR3C2,NRK,NRXN1,NSMAF,NT5DC2,NUDT14,NUSAP1,NVL,OBSL1,OFD1,OLFML3,OSBPL8,OXR1,P4HA2,PABPC4,PAGE2,PAGE2B,PAGE5,PAIP1,PALLD,PAM,PAX6,PCED1B,PCYOX1,PDCD4,PDHA1,PDPK1,PDPN,PELI2,PEMT,PER3,PFN2,PHF21A,PHF8,PHLDA3,PHLPP1,PIGH,PIK3R3,PIM2,PIN4,PITRM1,PKD1L2,PLAU,PLBD1,PLD6,PLEKHA3,PLGRKT,PLK2,PLOD1,PLS1,PLTP,PNP,PNRC1,PODXL,POLE4,POLI,POLR3K,POMC,PON3,POU5F1,PPIC,PPM1F,PPM1N,PPME1,PPP1R14C,PPP1R36,PPP1R3B,PPP3CA,PQLC3,PRADC1,PRAME,PRDM14,PRELP,PSMA8,PSMB6,PSME2,PSORS1C2,PTBP2,PTN,PTOV1,PTPMT1,PWWP3A,PYCARD,PYY,QPRT,RAB15,RAB28,RAB29,RAB40B,RAB41,RAD9B,RAE1,RALGPS2,RALY,RASD1,RASSF2,RBM27,RBM44,RBM46,RBM4B,RBP4,RCC2,RCN2,REC114,RFX6,RGS2,RHOXF1,RICTOR,RMND1,RNASEH2B,RNF157,RNF167,RNF181,RNPEP,ROPN1L,RPL10A,RPL11,RPL13A,RPL22,RPL23,RPL26,RPL27A,RPL36A,RPL41,RPL7,RPS13,RPS14,RPS15A,RPS2,RPS29,RPS3,RPS4X,RPUSD3,RRAGB,RRAGD,RUFY3,RUNX1T1,S100A13,SAT1,SATB1,SCCPDH,SCML2,SDCBP,SEL1L,SERPINE2,SERPINF1,SF3B3,SFRP2,SH2D4A,SH3GL2,SHD,SHPK,SIGIRR,SIX1,SKIDA1,SLC12A2,SLC25A1,SLC25A11,SLC25A14,SLC25A16,SLC25A31,SLC30A3,SLC35A2,SLC38A7,SLC3A2,SLC43A1,SLC47A1,SLC7A8,SLCO1B3,SMAD4,SMC1B,SMDT1,SMS,SMYD2,SNAP23,SNAP91,SNRPB,SNRPE,SNX30,SOAT2,SOHLH1,SOX13,SOX15,SOX30,SPA17,SPAG6,SPATS2L,SPCS1,SPO11,SPOCK3,SPTAN1,SPTBN2,SPTSSA,ST6GAL1,ST6GALNAC1,ST6GALNAC3,STAG3,STAT1,STAU1,STK17B,STK24,STK31,STOM,STRA6,STX8,SUCLA2,SUMF1,SUSD2,SUSD3,SWT1,SYCE3,SYCP2,SYCP2L,SYNJ1,SYPL1,SYTL3,TAF4B,TAGLN3,TANK,TASOR2,TBL1XR1,TBX3,TCEAL4,TCF4,TCF7L2,TCL1A,TCL1B,TCP11,TDRD1,TDRD5,TDRD6,TDRD9,TEAD2,TESC,TET1,TEX101,TEX12,TEX15,TFAP2C,TFCP2L1,THBS4,THY1,TJP3,TMCO1,TMED9,TMEM108,TMEM160,TMEM205,TMEM42,TMEM64,TMEM80,TMEM98,TMSB10,TMSB15A,TMSB4X,TOB1,TOMM7,TOP1MT,TOPAZ1,TOR3A,TP53TG3D,TP63,TPM2,TPM4,TPP1,TPTE,TRAF3,TRAF4,TRAM2,TRANK1,TRAPPC5,TRIAP1,TRIP12,TRMT10A,TSC2,TSC22D1,TSPYL2,TSPYL5,TSPYL6,TSTD1,TUBA1C,TUBA3C,TUBA3D,TUBA3E,TUBB,TUBB3,TUBGCP3,TUFT1,TXN,TXNDC12,UAP1,UBE2E2,UBE2E3,UBLCP1,UPB1,UPP1,UQCRH,UROS,USP11,USP2,USP42,USP9X,VAMP2,VAMP5,VAMP8,VAV3,VCX,VCX2,VCX3A,VCX3B,VGLL4,VPS13C,VPS26A,VRTN,VSIG10,WASF1,WASF3,WDR1,WDSUB1,WFDC2,WIPF3,WNT2B,YPEL5,YY2,ZBTB11,ZBTB18,ZBTB33,ZC3HAV1,ZCWPW1,ZDHHC4,ZFAND2A,ZFAND3,ZFAND5,ZFP42,ZFR2,ZFYVE16,ZGLP1,ZMYM2,ZNF138,ZNF280B,ZNF280C,ZNF410,ZNF486,ZNF589,ZNF652,ZNF682,ZNF729,ZNF791,ZNF800"
Reproductive	Germ cells	"ABCA5,ABCC1,ABCC9,ABHD12B,ABHD14B,ABLIM1,ABRACL,ACADS,ACE,ACOT4,ACP5,ACSS2,ACTG2,ACTL8,ACTR1A,ACTRT2,ACVR2A,ACYP1,ADA,ADAD1,ADAD2,ADD2,ADGRG6,ADSS,AEN,AFF3,AGBL5,AGGF1,AK1,AK9,AKAP1,AKAP4,AKT3,ALDH1A2,ALDH4A1,ALDOC,ALPL,ANKRD31,ANKRD42,ANKRD50,ANO10,ANXA11,ANXA3,ANXA6,APOC1,APOE,APRT,AQP11,AQP3,ARHGAP1,ARHGAP20,ARHGAP21,ARHGEF33,ARL4A,ARL6IP4,ARMC8,ARPC1B,ARRB1,ART3,ASAP1,ASPH,ASZ1,ATG2A,ATL3,ATP2A3,ATP6V1B1,ATP6V1C1,ATP9A,AURKC,B2M,B3GALNT1,B4GALT6,BAIAP2,BAIAP2L1,BAX,BAZ1A,BCL2L14,BFAR,BID,BLVRA,BMP2K,BOK,BOLA3,BPHL,BRCA1,BRD1,BRD2,C11orf65,C12orf10,C14orf39,C15orf48,C19orf38,C1orf146,C20orf96,C4orf48,C5,C5orf47,C5orf58,C9orf43,CA2,CABLES1,CABS1,CABYR,CADM1,CAMK4,CAMSAP1,CAND2,CAPRIN2,CARHSP1,CASP7,CAST,CATSPERZ,CBR1,CCDC112,CCDC122,CCDC152,CCDC172,CCDC186,CCDC30,CCDC42,CCDC54,CCDC73,CCDC82,CCDC88A,CCDC88C,CCDC91,CCNI,CCNO,CCPG1,CD55,CD63,CD81,CD82,CD9,CDC42EP4,CDCA7,CDIP1,CDKL3,CDRT4,CENPA,CETN1,CFAP221,CFAP97,CFL2,CFLAR,CHEK1,CHIC2,CHMP2B,CHMP4A,CHORDC1,CHP1,CHST2,CLDN6,CLEC4C,CLEC4D,CLGN,CLIP4,CLOCK,CMTM7,CNN2,CNTNAP2,CNTRL,COG6,COL1A2,COL4A1,COL4A2,COLEC11,COTL1,COX6B2,COX7B2,COX8A,COX8C,CREB3L4,CREB5,CREBRF,CREM,CRIP1,CRISP2,CRYBG3,CSMD3,CSRP2,CST8,CTCFL,CTSA,CTSC,CTSF,CTSH,CUL4B,CYP11A1,CYP2S1,CYSTM1,DAZL,DCAF4,DCAF4L1,DCTN4,DDHD2,DDIT4,DDX4,DECR1,DEDD,DENND1B,DENND5B,DGAT2,DGUOK,DHTKD1,DHX33,DKKL1,DLG3,DLK1,DLX5,DLX6,DMC1,DMD,DMRT1,DMRTB1,DMRTC2,DNAAF1,DNAH12,DNAH3,DNAH6,DNAH7,DNAJA4,DNAJB3,DNAJC10,DNALI1,DOCK8,DPEP3,DPPA3,DPPA4,DPPA5,DTD1,DUSP22,DYNLT1,ECHDC1,EEF1A1,EFEMP1,EGFR,EGR4,EID3,EIF1B,EIF3I,EIF3K,ELAVL2,ELOVL4,ELOVL6,EMB,ENC1,EPB41L3,EPB41L5,EPS8,ERBB3,ERICH5,ESAM,ESRP1,ESX1,ETFA,ETFB,ETV4,EVI5,EXOSC5,EYA2,F2R,FABP3,FABP9,FAM117A,FAM122C,FAM124B,FAM133A,FAM162B,FAM178B,FAM228A,FAM228B,FAM229A,FAM50B,FAM53B,FAM71E1,FAM9B,FARP1,FBLIM1,FBLN1,FBLN5,FBRS,FBXO11,FBXO15,FBXO25,FBXO4,FBXO47,FBXW7,FDXR,FGF9,FGFR1OP2,FHL2,FHL5,FKBP11,FKBP2,FKBP6,FLNA,FMN1,FMR1,FN1,FNDC5,FOXR1,FRA10AC1,FRAT2,FSD1L,FST,FTCD,FUCA2,FXYD6,GABARAPL1,GABARAPL2,GALNS,GALNTL5,GAPDHS,GDF9,GDPD2,GGNBP1,GIP,GLCCI1,GLDC,GLIPR1L2,GLIPR2,GLO1,GLUL,GMPPB,GNAS,GNG12,GNG4,GNPDA2,GOLGA1,GOLIM4,GPBP1,GPHA2,GPRC5C,GPX2,GSAP,GSG1,GSTP1,GTSF1,GYG1,H1FNT,H2AFB1,HAGH,HDDC3,HERC1,HERC2,HEY2,HIGD1A,HILPDA,HILS1,HMGB4,HNRNPA1,HOOK1,HOXB7,HOXC9,HOXD1,HOXD8,HSF2,HSF2BP,HSPA2,HSPA4L,HSPB11,HSPB9,HYDIN,HYLS1,ID2,IDH3A,IFITM1,IFITM3,IFT57,IFT88,IL12B,IL13RA1,ILKAP,IMPACT,IMPDH1,INCA1,IQCB1,IQCF1,IQCF3,IQUB,IRF4,ITM2C,ITPRID2,JMJD1C,JUP,KDM1B,KDM2A,KHDC3L,KIF2B,KIFAP3,KIT,KLC1,KLF10,KLF5,KLHL35,KLRG2,KMT2E,KRBOX1,KRCC1,L3MBTL3,LACC1,LDHA,LDHC,LEF1,LELP1,LGALS1,LHX8,LIN28A,LIN7B,LMO7,LOXL2,LPGAT1,LRRC18,LRRC27,LRRC34,LRRC40,LRRC46,LRRC57,LRRFIP2,LTBP3,LY6E,LY6G5C,LZIC,MAD1L1,MAEL,MAGEA4,MAL2,MAP3K11,MAP7,MAP7D3,MARCH11,MAT2B,MAVS,MB21D2,MBIP,MBOAT2,MBP,MCL1,MCRS1,MDN1,ME2,MED13L,MEIG1,MEIKIN,MEIOB,MEIS1,MFN1,MGAT4A,MGST3,MIER1,MKI67,MKNK2,MKRN1,MLEC,MLF1,MLH3,MLLT3,MMP2,MOK,MORC1,MORC2,MORN2,MORN5,MOV10L1,MPP1,MPP2,MPP7,MRPL14,MRPL15,MRPL34,MRS2,MS4A5,MSL3,MTDH,MTHFD1,MTUS1,MTX2,MVP,MXD4,MXI1,MYBL2,MYCBP2,MYCN,MYL6,MYL9,MYO1C,MYO1D,NAALAD2,NAGA,NANOG,NANOS3,NBPF10,NBPF8,NCK2,NDRG4,NDUFAB1,NDUFS5,NEDD4L,NEU1,NFATC1,NFE2L3,NFKBIA,NGLY1,NKIRAS1,NLRP9,NMU,NOL12,NOP10,NPC2,NR2F1,NR3C1,NR3C2,NR6A1,NRK,NRXN1,NSMAF,NT5DC2,NUDT14,NUSAP1,NVL,OBSL1,ODF2,OFD1,OLFML3,OSBP2,OSBPL8,OTUB2,OXR1,P4HA2,PABPC4,PAGE2,PAGE2B,PAGE5,PAIP1,PALLD,PAM,PARN,PAX6,PCED1B,PCYOX1,PDCD4,PDCL2,PDHA1,PDPK1,PDPN,PELI2,PEMT,PER3,PFN2,PGAM2,PGK2,PHF13,PHF21A,PHF7,PHF8,PHLDA3,PHLPP1,PIGH,PIK3R3,PIM2,PIN4,PITRM1,PIWIL2,PKD1L2,PLAAT5,PLAU,PLBD1,PLD6,PLEKHA3,PLGRKT,PLK2,PLOD1,PLS1,PLTP,PNP,PNRC1,PODXL,POLE4,POLI,POLR3K,POMC,PON3,POU5F1,PPIC,PPM1F,PPM1N,PPME1,PPP1R14C,PPP1R36,PPP1R3B,PPP3CA,PPP3R2,PQLC3,PRADC1,PRAME,PRDM14,PRELP,PRM1,PRM2,PRM3,PSMA8,PSMB6,PSME2,PSORS1C2,PTBP2,PTN,PTOV1,PTPMT1,PWWP3A,PYCARD,PYY,QPRT,RAB15,RAB28,RAB29,RAB40B,RAB41,RAD9B,RAE1,RALGPS2,RALY,RASD1,RASSF2,RBAKDN,RBM27,RBM44,RBM46,RBM4B,RBP4,RCC2,RCN2,REC114,RFX6,RGS2,RHOXF1,RICTOR,RMND1,RNASEH2B,RNF151,RNF157,RNF167,RNF181,RNPEP,ROPN1,ROPN1L,RPL10A,RPL11,RPL13A,RPL22,RPL23,RPL26,RPL27A,RPL36A,RPL41,RPL7,RPS13,RPS14,RPS15A,RPS2,RPS29,RPS3,RPS4X,RPUSD3,RRAGB,RRAGD,RSBN1L,RSPH1,RUFY3,RUNX1T1,S100A13,SALL4,SAT1,SATB1,SCCPDH,SCML2,SCP2D1,SDCBP,SEL1L,SERPINE2,SERPINF1,SF3B3,SFRP2,SH2D4A,SH3GL2,SHD,SHPK,SIGIRR,SIX1,SKIDA1,SLC12A2,SLC25A1,SLC25A11,SLC25A14,SLC25A16,SLC25A31,SLC30A3,SLC35A2,SLC38A7,SLC3A2,SLC43A1,SLC47A1,SLC7A8,SLCO1B3,SLFNL1,SMAD4,SMC1B,SMCP,SMDT1,SMIM24,SMS,SMYD2,SNAP23,SNAP91,SNRPB,SNRPE,SNX30,SOAT2,SOHLH1,SORD,SOX13,SOX15,SOX30,SPA17,SPAG6,SPATA12,SPATA18,SPATA19,SPATA20,SPATA24,SPATA3,SPATA33,SPATA4,SPATA46,SPATS2L,SPCS1,SPERT,SPINK2,SPO11,SPOCK3,SPTAN1,SPTBN2,SPTSSA,SPZ1,ST6GAL1,ST6GALNAC1,ST6GALNAC3,STAG3,STAT1,STAU1,STK17B,STK24,STK31,STOM,STRA6,STRA8,STX8,SUCLA2,SUMF1,SUSD2,SUSD3,SWT1,SYCE3,SYCP1,SYCP2,SYCP2L,SYNJ1,SYPL1,SYTL3,TAF4B,TAF7L,TAGLN3,TANK,TASOR2,TBL1XR1,TBX3,TCEAL4,TCF4,TCF7L2,TCL1A,TCL1B,TCP11,TDRD1,TDRD5,TDRD6,TDRD9,TEAD2,TEKT1,TESC,TESMIN,TET1,TEX101,TEX12,TEX15,TEX33,TEX35,TFAP2C,TFCP2L1,THBS4,THY1,TJP3,TMCO1,TMCO2,TMED9,TMEM108,TMEM160,TMEM205,TMEM247,TMEM42,TMEM53,TMEM64,TMEM80,TMEM98,TMSB10,TMSB15A,TMSB4X,TNP1,TNP2,TOB1,TOMM7,TOP1MT,TOPAZ1,TOR3A,TP53TG3D,TP63,TPM2,TPM4,TPP1,TPPP2,TPTE,TRAF3,TRAF4,TRAM2,TRANK1,TRAPPC5,TRIAP1,TRIP12,TRMT10A,TSACC,TSC2,TSC22D1,TSKS,TSPYL2,TSPYL5,TSPYL6,TSSK2,TSSK3,TSSK6,TSTD1,TUBA1C,TUBA3C,TUBA3D,TUBA3E,TUBB,TUBB3,TUBGCP3,TUFT1,TULP2,TXN,TXNDC12,UAP1,UBE2E2,UBE2E3,UBLCP1,UPB1,UPP1,UQCRH,UROS,USP11,USP2,USP42,USP9X,VAMP2,VAMP5,VAMP8,VAV3,VCX,VCX2,VCX3A,VCX3B,VGLL4,VPS13C,VPS26A,VRTN,VSIG10,WASF1,WASF3,WDR1,WDR5,WDSUB1,WFDC2,WIPF3,WNT2B,YPEL5,YY2,ZBTB11,ZBTB18,ZBTB33,ZC3HAV1,ZCWPW1,ZDHHC4,ZFAND2A,ZFAND3,ZFAND5,ZFP42,ZFR2,ZFYVE16,ZGLP1,ZMYM2,ZMYND19,ZNF138,ZNF280B,ZNF280C,ZNF410,ZNF486,ZNF589,ZNF652,ZNF682,ZNF729,ZNF791,ZNF800,ZNRF4,ZPBP2"
Reproductive	Granulosa cells	"ADAMTS1,AMH,BOK,FHL1,FOXL2,FSHR,GAPDH,HJURP,HSD17B1,HSD3B1,HTRA1,INHA,LOX,MCAM,TNNI3"
Reproductive	Immune cell	"CD14,CD19,CD3D,CD3E,CD3G,MS4A1,NCAM1"
Reproductive	Leydig cells	"ACSBG1,ADAM21,ALDH1A1,ALDH1A3,ASS1,CALB2,CFD,CXCL10,CYP11A1,CYP17A1,CYP26B1,DHCR7,DLK1,EDNRA,ESRRG,FABP9,GAS6,GATA4,GJA1,HSD11B2,HSD17B3,HSD3B1,IGF1,IGF2,IGFBP3,IGFBP5,INHA,INHBA,INSL3,KISS1,LCN2,MAFB,MLANA,NOS1,NR5A2,PDE8A,PLAUR,PRLR,PTCH1,PTGDS,RLN2,SLC9A8,SMOC2,STAR,SULT1E1,TAC1,THBS2,VIT"
Reproductive	Luteal cells	"ADAMTS1,AIF1L,AKT1,AVPI1,BCAT1,BHMT,CHKA,CITED4,CYP11A1,DHCR7,EPDR1,EPHX2,FKBP5,GAMT,GAPDH,HSD3B1,ME1,PGAM1,PLIN5,PMPCB,PRLR,RORA,SDC1,SFRP4,SLC16A2,TMEM86A"
Reproductive	Mesenchymal cells	"ACTA2,CD44,CDH2,FN1,ITGA5,MMP2,S100A4,SNAI2,TNC,TWIST1,VIM,WNT5A,ZEB1,ZEB2"
Reproductive	Mesenchymal stem cell	"ENG,THY1"
Reproductive	Peritubular myoid cells	"ALDH1A3,APOA1,C7,CILP,COL15A1,CYP1B1,EPHX1,GSTM3,INTS6,KCNMB1,LAMB2,LAMC3,MYH11,MYL9,MYLIP,OSR2,RARRES2,RASD1,RNASE1,SAT2,TMEM98,TPM1,TPM2,TPM4,WNT2B"
Reproductive	Sertoli cells	"AARD,ABCG8,AMH,AMHR2,ANKRD7,AR,BCAR3,CD46,CD55,CLDN11,CLU,CST9,CTSA,CXCL12,DES,DHH,DIAPH2,EPS8,FAS,GAMT,GATA1,GATA4,GATA6,GBA2,HES5,HSD17B1,HSD17B3,HSPBAP1,INHA,INHBB,KITLG,MAFB,MEIG1,MRO,MSI1,NF2,NOTCH2,NR1H2,OCLN,PADI2,PFKFB3,PHF7,PRLR,RXRB,SCX,SEMA5B,SERPINB9,SERPING1,SHBG,SLC16A3,SOX9,STAR,STIM1,TF,TMEM184A,WFDC2,WNT6,WT1"
Reproductive	Spermatocytes	"ACR,CAPN1,CD46,GKAP1,IGF2,INHBB,JAKMIP1,NOTCH3,OSR2,PGK2,PRM1,PRM2,SMCP,SPATA33,SYCP1,SYCP2,SYCP3,TEX101,TNP1,TXNDC8"
Reproductive	Spermatozoa	"ABCA1,ABHD2,HSPA2,HVCN1,LDHC,ODF1,PRKAA2,SLC31A1"
Skin	Keratinocytes	"ANXA8,AQP3,CALML5,CCL2,CD24,CXCL1,DMKN,DSC3,ENTPD2,FGF5,FST,GJB3,ICAM1,IL13RA1,IRF3,IVL,KRT1,KRT10,KRT14,KRT15,KRT16,KRT17,KRT36,KRT5,KRT84,LAMA5,LAMC2,LCN2,LGALS7,NGFR,PI3,PKP1,PKP3,PLEC,REL,RIPK4,S100A14,SBSN,SFN,SGPP1,SIRT7,SPRR1A,SPRR1B,TFAP2A,TGM1,TRIM29"
Skin	Langerhans cells	"ACHE,AHR,CCR6,CD1A,CLDN1,EHF,EPCAM,FCGR1A,FCGR2A,GPNMB,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB6,PRKCB,PTPRC,TLR2"
Skin	Melanocytes	"AHNAK2,AHR,BMI1,BNC2,CRABP1,CTNS,DCT,DKK3,ENPP1,FILIP1L,GPNMB,HSPB1,KLC2,LOXL2,MEN1,MITF,MLANA,PAX3,PMEL,POMC,PPARA,PPARD,PPARG,PRKCA,PTGDS,PTN,RAB38,SLC45A2,SLK,SOX9,TFAP2A,TP63,TPH2,TRPM1,TYR,TYRP1,ZC3H7A"
Skin	Merkel cells	"ATOH1,CD99,CHGA,FLI1,GFI1,GNAI1,ID2,KRT18,KRT20,KRT8,PIEZO2,POU4F3,SOX2,TRPV4,TTF1,VIL1"
Skin	Sebocytes	"ADIPOR1,ANGPTL4,CALCA,CAMP,CDH1,CEBPA,CEBPB,CRH,CRHR1,EXO1,F2RL1,FFAR2,IHH,KLF5,KRT7,LTA4H,MUC1,PTGER2,RDH12,SRD5A2"
Skin	Trichocytes	"DSG2,HOXC13,KRT81,KRT86"
